        ID       lat       lon       err   area_CaMa  area_GRanD        diff      ix    iy        area     cap_mcm  damname
      2099    44.525   -68.992    -9.000      -999.0        31.4      -999.0    -999  -999      -999.0        27.5  Toddy_Pond_Dam                
      2122    44.058   -69.525    -9.000      -999.0       177.1      -999.0    -999  -999      -999.0       175.8  Damariscotta_Intake_Dam       
      2176     0.000     0.000    -9.000     12453.9         0.0         0.0    -999  -999      -999.0        21.0  Northfield_Mountain_Main_Dam  
      2216    41.342   -72.775    -9.000      -999.0        22.7      -999.0    -999  -999      -999.0        66.0  Lake_Gaillard                 
      2221    41.242   -73.258    -9.000      -999.0        40.8      -999.0    -999  -999      -999.0        44.4  Easton_Reservoir              
      2227    41.042   -73.775    -9.000      -999.0        62.8      -999.0    -999  -999      -999.0       143.8  Kensico_Dam                   
      2252    18.392   -66.925    -9.000      -999.0        94.1      -999.0    -999  -999      -999.0        57.5  Guajataca                     
      2257    18.108   -66.475    -9.000      -999.0        56.8      -999.0    -999  -999      -999.0        67.7  Toa_Vaca_Dam                  
      2259    18.025   -66.025    -9.000      -999.0        67.5      -999.0    -999  -999      -999.0        17.0  Patillas                      
      2260    14.592   -60.958    -9.000      -999.0         3.6      -999.0    -999  -999      -999.0        14.6  Saint_Pierre_la_Manzo         
      2589    56.075    -5.342    -9.000      -999.0         8.4      -999.0    -999  -999      -999.0        21.2  Glashan                       
      2591    56.008    -5.092    -9.000      -999.0        11.3      -999.0    -999  -999      -999.0        13.0  Tarsan                        
      2608    54.125    -6.008    -9.000      -999.0        24.2      -999.0    -999  -999      -999.0        13.5  Silent_Valley                 
      2641    50.175    -5.208    -9.000      -999.0         9.1      -999.0    -999  -999      -999.0         5.4  Stithians                     
      2691    42.342    -8.492    -9.000      -999.0       145.1      -999.0    -999  -999      -999.0        22.2  Eiras                         
      2819     0.000     0.000    -9.000     16227.2         0.0         0.0    -999  -999      -999.0        20.0  La_Muela                      
      2842    38.542    -0.258    -9.000      -999.0       203.8      -999.0    -999  -999      -999.0        15.8  Amadorio                      
      2877    37.908    -8.758    -9.000      -999.0        27.1      -999.0    -999  -999      -999.0        32.5  Morgavel                      
      2907    37.192    -8.692    -9.000      -999.0        82.1      -999.0    -999  -999      -999.0        34.8  Bravura                       
      2928    35.692    -5.375    -9.000      -999.0        70.6      -999.0    -999  -999      -999.0         2.3  Sghir                         
      3038     8.375   -13.208    -9.000      -999.0         7.1      -999.0    -999  -999      -999.0       220.0  Guma                          
      3082    62.525     8.475    -9.000      -999.0       186.9      -999.0    -999  -999      -999.0       140.6  Osbudammen                    
      3095    60.975     5.708    -9.000      -999.0        11.8      -999.0    -999  -999      -999.0        83.0  Krokevatn                     
      3098    60.958     5.692    -9.000      -999.0        37.7      -999.0    -999  -999      -999.0        33.7  Stordalsvatn                  
      3102    60.892     5.842    -9.000      -999.0        15.4      -999.0    -999  -999      -999.0        31.2  Skjerjevatn_Hoveddam          
      3105    60.858     5.642    -9.000      -999.0        98.0      -999.0    -999  -999      -999.0        21.9  Godbotsvatn                   
      3114    60.442     6.358    -9.000      -999.0        41.7      -999.0    -999  -999      -999.0        89.0  Bjolsegrovatn_Hoveddam        
      3160    59.375     6.742    -9.000      -999.0        85.3      -999.0    -999  -999      -999.0       775.0  Forrevassdammen               
      3172    58.992     6.475    -9.000      -999.0        14.2      -999.0    -999  -999      -999.0        55.0  Florlivatn_Dam                
      3183    58.725     6.092    -9.000      -999.0        15.9      -999.0    -999  -999      -999.0        60.0  Stolsvatn                     
      3189    51.975     1.142    -9.000      -999.0        22.2      -999.0    -999  -999      -999.0         9.1  Alton_Water                   
      3193    51.825     0.875    -9.000      -999.0        34.5      -999.0    -999  -999      -999.0        25.7  Abberton                      
      3482    42.292     9.508    -9.000      -999.0        64.2      -999.0    -999  -999      -999.0        11.5  Alesani                       
      3536    37.625    13.058    -9.000      -999.0       137.5      -999.0    -999  -999      -999.0        32.8  Arancio                       
      3540    37.192    14.292    -9.000      -999.0       235.8      -999.0    -999  -999      -999.0        14.0  Disueri                       
      3548    36.825    10.992    -9.000      -999.0        24.3      -999.0    -999  -999      -999.0         1.1  Abdel_Monem                   
      3552    36.742    10.925    -9.000      -999.0       198.1      -999.0    -999  -999      -999.0        30.0  Lebna                         
      3563    36.542     2.308    -9.000      -999.0       163.3      -999.0    -999  -999      -999.0        97.0  Boukourdane                   
      3682    70.458    26.908    -9.000      -999.0        62.6      -999.0    -999  -999      -999.0       183.0  Masevatn_Hoveddam             
      3947    42.708    27.525    -9.000      -999.0        82.4      -999.0    -999  -999      -999.0        12.7  Aheloy                        
      3996    41.108    29.575    -9.000      -999.0       205.7      -999.0    -999  -999      -999.0       113.0  Darlik                        
      4025    39.092    16.525    -9.000      -999.0        32.8      -999.0    -999  -999      -999.0        40.3  Passante                      
      4040    35.042    25.692    -9.000      -999.0        23.9      -999.0    -999  -999      -999.0        15.0  Bramianos                     
      4210     0.000     0.000    -9.000      -888.0         0.0         0.0    -999  -999      -999.0         3.7  Wilgw                         
      4294     0.000     0.000    -9.000       882.7         0.0         0.0    -999  -999      -999.0         1.2  Umziniana                     
      4329   -33.958    22.508    -9.000      -999.0        37.8      -999.0    -999  -999      -999.0         8.1  Tuinroete                     
      4337   -34.092    22.008    -9.000      -999.0        98.7      -999.0    -999  -999      -999.0         7.0  Hartebeeskuil                 
      4339   -34.175    18.908    -9.000      -999.0        28.2      -999.0    -999  -999      -999.0        52.7  Upper_Steenbras               
      4340   -34.158    18.975    -9.000      -999.0         5.3      -999.0    -999  -999      -999.0         3.3  Palmietriver                  
      4341   -34.192    18.858    -9.000      -999.0        67.1      -999.0    -999  -999      -999.0        36.1  Steenbras                     
      4466    34.742    33.092    -9.000      -999.0       160.1      -999.0    -999  -999      -999.0        13.6  Yermasoyia                    
      5165    13.208   100.958    -9.000      -999.0       125.4      -999.0    -999  -999      -999.0       110.0  Bang_Phra                     
      5177     1.408   103.675    -9.000      -999.0         3.9      -999.0    -999  -999      -999.0        16.8  Murai                         
      5178     1.408   103.808    -9.000      -999.0        11.8      -999.0    -999  -999      -999.0        27.6  Seletar                       
      5179     1.375   103.808    -9.000      -999.0        10.3      -999.0    -999  -999      -999.0        30.5  Upper_Peirce                  
      5266    34.942   118.958    -9.000      -999.0       364.5      -999.0    -999  -999      -999.0       300.0  Xiaotashan                    
      5667    25.608   119.242    -9.000      -999.0        53.8      -999.0    -999  -999      -999.0        38.9  Jianxin                       
      5712    24.258   117.875    -9.000      -999.0        64.2      -999.0    -999  -999      -999.0        52.0  Yangmei                       
      5719    23.975   117.558    -9.000      -999.0        42.1      -999.0    -999  -999      -999.0        33.5  Zumalin                       
      5781    21.575   111.175    -9.000      -999.0        32.4      -999.0    -999  -999      -999.0         1.4  Renshui                       
      5783    23.342   116.558    -9.000      -999.0        23.5      -999.0    -999  -999      -999.0        17.0  Hexi                          
      5895    40.825   122.008    -9.000      -999.0        28.0      -999.0    -999  -999      -999.0        10.0  Rongxing                      
      5904    40.375   128.542    -9.000      -999.0        37.9      -999.0    -999  -999      -999.0         3.5  Munam                         
      5918    39.175   125.475    -9.000      -999.0        12.6      -999.0    -999  -999      -999.0        40.4  Pyongwon                      
      5933    38.275   128.492    -9.000      -999.0        27.1      -999.0    -999  -999      -999.0         0.6  Munam                         
      5967    36.375   126.625    -9.000      -999.0        72.7      -999.0    -999  -999      -999.0        20.8  Chongchon                     
      5971    36.025   129.292    -9.000      -999.0         6.3      -999.0    -999  -999      -999.0        17.6  Angye                         
      5987    35.242   134.842    -9.000      -999.0         1.1      -999.0    -999  -999      -999.0        33.4  Kurokawa                      
      5995    35.192   134.825    -9.000      -999.0        48.2      -999.0    -999  -999      -999.0        18.0  Ikuno                         
      6002    35.025   127.708    -9.000      -999.0        48.7      -999.0    -999  -999      -999.0        28.1  Suo                           
      6008     0.000     0.000    -9.000      -888.0         0.0         0.0    -999  -999      -999.0         1.5  Kunikaneike                   
      6013    34.808   134.842    -9.000      -999.0         1.2      -999.0    -999  -999      -999.0         9.4  Heisodaiichi                  
      6014    34.708   134.158    -9.000      -999.0         1.3      -999.0    -999  -999      -999.0         0.6  Ogaike                        
      6017    34.642   126.275    -9.000      -999.0         3.4      -999.0    -999  -999      -999.0         3.6  Sansu                         
      6021    34.558   126.858    -9.000      -999.0        12.1      -999.0    -999  -999      -999.0         0.9  Samjung                       
      6024    34.558   133.542    -9.000      -999.0         7.1      -999.0    -999  -999      -999.0         1.0  Osakaike                      
      6029     0.000     0.000    -9.000      -888.0         0.0         0.0    -999  -999      -999.0         0.6  Namitakijiike                 
      6031    34.425   132.325    -9.000      -999.0        39.8      -999.0    -999  -999      -999.0         8.5  Uokiri                        
      6032    34.425   133.158    -9.000      -999.0         3.5      -999.0    -999  -999      -999.0         0.7  Hisayamada                    
      6038    34.308   132.558    -9.000      -999.0        31.6      -999.0    -999  -999      -999.0         2.0  Honjo                         
      6042    34.242   133.875    -9.000      -999.0         7.8      -999.0    -999  -999      -999.0         1.5  Niike                         
      6043    34.242   134.175    -9.000      -999.0        14.1      -999.0    -999  -999      -999.0         0.8  Ishigamiike                   
      6046    34.225   131.492    -9.000      -999.0         7.5      -999.0    -999  -999      -999.0         5.2  Aratani                       
      6048    34.225   134.275    -9.000      -999.0         3.1      -999.0    -999  -999      -999.0         1.0  Ouchi                         
      6051    34.175   133.908    -9.000      -999.0        88.1      -999.0    -999  -999      -999.0         1.0  Kamekoshiike                  
      6052    34.158   133.758    -9.000      -999.0         2.2      -999.0    -999  -999      -999.0         1.0  Iwaseike                      
      6053    34.158   133.875    -9.000      -999.0        13.7      -999.0    -999  -999      -999.0        15.4  Mannoike                      
      6054    34.158   134.075    -9.000      -999.0        28.2      -999.0    -999  -999      -999.0         8.2  Naiba                         
      6059    34.125   131.792    -9.000      -999.0        12.9      -999.0    -999  -999      -999.0        13.7  Kawakami                      
      6060    34.108   130.942    -9.000      -999.0         2.2      -999.0    -999  -999      -999.0         1.3  Utsui                         
      6064    34.058   130.925    -9.000      -999.0         2.0      -999.0    -999  -999      -999.0         0.9  Utsuidaini                    
      6065    34.042   130.942    -9.000      -999.0         4.7      -999.0    -999  -999      -999.0         1.0  Utsuidaiichi                  
      6066    34.075   131.308    -9.000      -999.0         1.2      -999.0    -999  -999      -999.0         4.5  Ubemaruyama                   
      6067    34.058   131.875    -9.000      -999.0        44.9      -999.0    -999  -999      -999.0        19.6  Suetakegawa                   
      6068    33.992   131.308    -9.000      -999.0         2.3      -999.0    -999  -999      -999.0         1.0  Mannenike                     
      6069    33.992   132.925    -9.000      -999.0        38.3      -999.0    -999  -999      -999.0         9.9  Tamagawa                      
      6072    33.908   130.775    -9.000      -999.0         2.1      -999.0    -999  -999      -999.0         5.3  Tondadaini                    
      6073    33.908   130.775    -9.000      -999.0         2.1      -999.0    -999  -999      -999.0         5.0  Tondadaiichi                  
      6076     0.000     0.000    -9.000       200.3         0.0         0.0    -999  -999      -999.0         0.9  Yoshida                       
      6077    33.825   130.508    -9.000      -999.0         1.6      -999.0    -999  -999      -999.0         1.2  Tare                          
      6080    33.792   130.525    -9.000      -999.0         5.2      -999.0    -999  -999      -999.0         1.3  Oi                            
      6095    33.558   130.892    -9.000      -999.0        35.7      -999.0    -999  -999      -999.0        18.2  Aburagi                       
      6098    33.492   131.608    -9.000      -999.0        16.6      -999.0    -999  -999      -999.0         2.6  Aki                           
      6102    33.442   130.408    -9.000      -999.0         2.8      -999.0    -999  -999      -999.0         4.5  Suburi                        
      6103    33.425   131.425    -9.000      -999.0         1.5      -999.0    -999  -999      -999.0         4.9  Hisashi                       
      6105    33.425   130.425    -9.000      -999.0        25.8      -999.0    -999  -999      -999.0         6.0  Minamihata                    
      6112    33.175   130.092    -9.000      -999.0         2.8      -999.0    -999  -999      -999.0         0.6  Nagaike                       
      6117     0.000     0.000    -9.000      -888.0         0.0         0.0    -999  -999      -999.0         1.1  Nodaketameike                 
      6120    32.892   129.708    -9.000      -999.0        17.6      -999.0    -999  -999      -999.0         6.8  Konoura                       
      6122    32.825   129.825    -9.000      -999.0         2.3      -999.0    -999  -999      -999.0         2.3  Narumi                        
      6123    32.808   130.058    -9.000      -999.0         4.7      -999.0    -999  -999      -999.0         2.2  Ogakura                       
      6125    32.792   131.608    -9.000      -999.0       181.4      -999.0    -999  -999      -999.0        41.0  Kitagawa                      
      6126    32.758   130.308    -9.000      -999.0         1.2      -999.0    -999  -999      -999.0         1.9  Bessho                        
      6130    32.425   130.358    -9.000      -999.0        10.5      -999.0    -999  -999      -999.0         1.4  Kyoragi                       
      6134    32.358   131.342    -9.000      -999.0        83.0      -999.0    -999  -999      -999.0        33.9  Dokawa                        
      6144    31.825   130.658    -9.000      -999.0        11.1      -999.0    -999  -999      -999.0         2.2  Takeyama                      
      6147    30.758   131.025    -9.000      -999.0         1.6      -999.0    -999  -999      -999.0         2.3  Saikyo                        
      6174    28.125   120.858    -9.000      -999.0        40.5      -999.0    -999  -999      -999.0        25.2  Zhongqian                     
      6180    26.475   127.958    -9.000      -999.0         8.5      -999.0    -999  -999      -999.0         8.2  Kanna                         
      6181    26.475   127.925    -9.000      -999.0        13.9      -999.0    -999  -999      -999.0         7.6  Okukubi                       
      6182    26.392   127.808    -9.000      -999.0         6.2      -999.0    -999  -999      -999.0         7.1  Kurashiki                     
      6185    24.408   124.225    -9.000      -999.0         5.3      -999.0    -999  -999      -999.0        13.0  Sokobaru                      
      6186    24.442   124.208    -9.000      -999.0         3.8      -999.0    -999  -999      -999.0         2.3  Maezato                       
      6187    24.425   124.192    -9.000      -999.0         2.9      -999.0    -999  -999      -999.0         4.0  Nagura                        
      6203    44.408   141.858    -9.000      -999.0        21.4      -999.0    -999  -999      -999.0         2.4  Ariake                        
      6204    44.342   141.925    -9.000      -999.0        22.0      -999.0    -999  -999      -999.0         3.3  Haboro                        
      6267    42.425   141.075    -9.000      -999.0        72.7      -999.0    -999  -999      -999.0        10.0  Horobetsu                     
      6270    42.192   142.958    -9.000      -999.0        57.1      -999.0    -999  -999      -999.0         6.2  Samani                        
      6272    42.108   140.125    -9.000      -999.0        24.0      -999.0    -999  -999      -999.0         0.8  Ainumanai                     
      6273    42.058   140.508    -9.000      -999.0        51.7      -999.0    -999  -999      -999.0         3.3  Komagatake                    
      6274    41.875   140.592    -9.000      -999.0        57.3      -999.0    -999  -999      -999.0         3.6  Kamiiso                       
      6276    40.925   140.992    -9.000      -999.0         1.1      -999.0    -999  -999      -999.0         0.9  Tanosawatameike               
      6280    40.758   140.308    -9.000      -999.0        20.7      -999.0    -999  -999      -999.0         1.8  Shinkodoroku                  
      6281    40.742   140.658    -9.000      -999.0         4.2      -999.0    -999  -999      -999.0         7.6  Namioka                       
      6289     0.000     0.000    -9.000       129.1         0.0         0.0    -999  -999      -999.0         1.5  Shakaike                      
      6298    39.775   140.158    -9.000      -999.0         4.0      -999.0    -999  -999      -999.0         1.7  Otakisawatameike              
      6312    39.308   140.025    -9.000      -999.0         3.5      -999.0    -999  -999      -999.0         1.3  Kuromorigawadaiichi           
      6324    38.592   139.675    -9.000      -999.0        32.8      -999.0    -999  -999      -999.0         5.7  Atsumigawa                    
      6330    38.358   140.742    -9.000      -999.0        23.6      -999.0    -999  -999      -999.0         9.2  Nanakita                      
      6343    38.025   139.575    -9.000      -999.0        71.5      -999.0    -999  -999      -999.0        22.8  Oishi                         
      6345    37.958   139.525    -9.000      -999.0        72.6      -999.0    -999  -999      -999.0        17.1  Tainaigawa                    
      6353    37.592   140.908    -9.000      -999.0        45.3      -999.0    -999  -999      -999.0        13.7  Yokokawa                      
      6360    37.375   140.942    -9.000      -999.0        15.4      -999.0    -999  -999      -999.0         2.8  Sakashita                     
      6373    37.142   138.175    -9.000      -999.0         6.3      -999.0    -999  -999      -999.0         4.7  Shozenji                      
      6378    36.992   136.958    -9.000      -999.0         1.7      -999.0    -999  -999      -999.0         1.3  Tane                          
      6390     0.000     0.000    -9.000      -888.0         0.0         0.0    -999  -999      -999.0         7.1  Kuriyama                      
      6403    36.675   137.425    -9.000      -999.0        45.8      -999.0    -999  -999      -999.0         4.8  Kamiichigawa                  
      6404    36.675   137.442    -9.000      -999.0        40.4      -999.0    -999  -999      -999.0         7.8  Kamiichigawadaini             
      6405     0.000     0.000    -9.000      -999.0         0.0         0.0    -999  -999      -999.0         3.5  Furudo                        
      6412     0.000     0.000    -9.000      -888.0         0.0         0.0    -999  -999      -999.0         1.5  Sakuragaike                   
      6419    36.475   136.675    -9.000      -999.0        37.6      -999.0    -999  -999      -999.0         9.5  Uchikawa                      
      6422    36.425   136.742    -9.000      -999.0        53.5      -999.0    -999  -999      -999.0        14.3  Saigawa                       
      6423     0.000     0.000    -9.000      -999.0         0.0         0.0    -999  -999      -999.0         2.0  Kozogawa                      
      6479     0.000     0.000    -9.000      -888.0         0.0         0.0    -999  -999      -999.0         1.5  Maruyamatameike               
      6484     0.000     0.000    -9.000       754.0         0.0         0.0    -999  -999      -999.0         1.0  Fukuoka                       
      6504     0.000     0.000    -9.000       477.8         0.0         0.0    -999  -999      -999.0         3.9  Kori                          
      6511    35.225   136.458    -9.000      -999.0         3.1      -999.0    -999  -999      -999.0        16.4  Nakazato                      
      6522     0.000     0.000    -9.000      3679.6         0.0         0.0    -999  -999      -999.0         2.2  Miyoshiike                    
      6534    34.942   139.058    -9.000      -999.0        12.7      -999.0    -999  -999      -999.0         5.1  Okuno                         
      6537    34.908   136.858    -9.000      -999.0         2.7      -999.0    -999  -999      -999.0         1.0  Maeyama                       
      6540     0.000     0.000    -9.000      -888.0         0.0         0.0    -999  -999      -999.0         7.2  Kisenyama                     
      6546    34.842   137.308    -9.000      -999.0         1.2      -999.0    -999  -999      -999.0         0.8  Komanba                       
      6548    34.808   136.375    -9.000      -999.0        27.8      -999.0    -999  -999      -999.0        10.5  Ano                           
      6553    34.758   136.392    -9.000      -999.0         2.5      -999.0    -999  -999      -999.0         1.5  Katada                        
      6557     0.000     0.000    -9.000      -888.0         0.0         0.0    -999  -999      -999.0         1.7  Hattachiike                   
      6561    34.492   135.458    -9.000      -999.0         2.8      -999.0    -999  -999      -999.0         1.2  Onoike                        
      6562    34.458   136.525    -9.000      -999.0         2.4      -999.0    -999  -999      -999.0         2.4  Gokatsuraike                  
      6563    34.458   135.558    -9.000      -999.0         1.0      -999.0    -999  -999      -999.0         3.7  Komyoike                      
      6614   -35.075   138.558    -9.000      -999.0        21.4      -999.0    -999  -999      -999.0        14.4  Happy_Valley                  
      6677   -41.108   146.958    -9.000      -999.0        16.9      -999.0    -999  -999      -999.0        12.0  Curries                       
      6696   -42.558   147.408    -9.000      -999.0       289.8      -999.0    -999  -999      -999.0        12.5  Craigbourne                   
      6711   -26.792   153.042    -9.000      -999.0        13.5      -999.0    -999  -999      -999.0        16.7  Ewen_Maddock                  
      6722   -27.525   153.175    -9.000      -999.0        89.7      -999.0    -999  -999      -999.0        25.0  Leslie_Harrison               
      6754   -35.275   173.858    -9.000      -999.0         5.2      -999.0    -999  -999      -999.0         5.9  Waingaro                      
      6755   -35.708   174.292    -9.000      -999.0         8.5      -999.0    -999  -999      -999.0         2.0  Whau_Valley                   
      6756   -36.908   174.525    -9.000      -999.0         8.1      -999.0    -999  -999      -999.0         1.9  Waitakere                     
      6757   -36.942   174.542    -9.000      -999.0         1.0      -999.0    -999  -999      -999.0         0.3  Nihotupu_Auxiliary_Dam        
      6758   -36.925   174.558    -9.000      -999.0         6.7      -999.0    -999  -999      -999.0         2.4  Upper_Nihotupu                
      6759   -36.958   174.608    -9.000      -999.0        22.2      -999.0    -999  -999      -999.0         4.8  Lower_Nihotupu                
      6760   -36.958   174.542    -9.000      -999.0         9.5      -999.0    -999  -999      -999.0         2.4  Upper_Huia                    
      6761   -36.992   174.575    -9.000      -999.0        23.7      -999.0    -999  -999      -999.0         6.7  Lower_Huia                    
      6763   -37.092   175.008    -9.000      -999.0         4.4      -999.0    -999  -999      -999.0         3.7  Hays_Creek                    
      6768   -37.825   176.242    -9.000      -999.0         5.4      -999.0    -999  -999      -999.0         1.1  Raymond                       
      6784   -39.125   174.092    -9.000      -999.0        16.9      -999.0    -999  -999      -999.0         1.4  Mangamahoe                    
      6793   -41.292   174.758    -9.000      -999.0         1.9      -999.0    -999  -999      -999.0         0.1  Lower_Karori                  
      6794   -41.275   174.742    -9.000      -999.0         0.8      -999.0    -999  -999      -999.0         0.2  Upper_Karori                  
      6823    51.558     3.842    -9.000      -999.0        90.9      -999.0    -999  -999      -999.0      2780.0  Ooster_Scheldekering          
      6824    51.542     3.808    -9.000      -999.0        87.2      -999.0    -999  -999      -999.0       107.0  Veersedam                     
