Seminoe,date,storage(MCM),inflow(m3/s),release(m3/s)
181,1951-07-01,1224.021034,79.62697264,20.02001055
182,1951-07-02,1227.647471,79.14558625,32.11130404
183,1951-07-03,1231.027211,80.41984434,35.65090987
184,1951-07-04,1235.381402,82.00558775,24.26753754
185,1951-07-05,1237.811361,64.59072709,29.78932262
186,1951-07-06,1239.513566,56.94517851,29.84595632
187,1951-07-07,1241.215771,59.09725885,29.534471000000003
188,1951-07-08,1243.164672,54.14181070000001,24.69229024
189,1951-07-09,1243.904762,50.06418479,34.74477078
190,1951-07-10,1244.632516,41.00279388,32.36615566
191,1951-07-11,1245.125909,39.64358524,33.86694853
192,1951-07-12,1245.125909,34.40496862,30.32734271
193,1951-07-13,1245.125909,36.44378157,31.03526387
194,1951-07-14,1246.100359,39.92675371,22.34199197
195,1951-07-15,1246.100359,20.07664424,14.49822546
196,1951-07-16,1247.07481,28.00536129,11.75149134
197,1951-07-17,1248.295957,31.79981873,13.25228421
198,1951-07-18,1249.517104,34.00853277,13.87525483
199,1951-07-19,1250.750586,41.93724981,20.30317901
200,1951-07-20,1252.465126,39.21883254,15.20614662
201,1951-07-21,1254.673058,38.65249561,9.769312077
202,1951-07-22,1257.855441,43.72121115,2.0671298019999997
203,1951-07-23,1259.829012,40.04002109,11.69485765
204,1951-07-24,1261.555887,41.00279388,14.75307708
205,1951-07-25,1263.036065,40.86120964,17.95288074
206,1951-07-26,1264.762939,44.82556817,19.76515893
207,1951-07-27,1265.749725,42.30536882,25.79664725
208,1951-07-28,1267.723296,47.20418328,18.46258398
209,1951-07-29,1269.955898,39.33209993,7.702182275
210,1951-07-30,1271.448411,39.41705047,15.800800400000002
211,1951-07-31,1271.941804,37.63308913,26.44793472
212,1951-08-01,1272.1885,28.3168466,19.42535677
213,1951-08-02,1272.928589,32.53605674,18.37763344
214,1951-08-03,1274.421102,32.84754206,11.77980819
215,1951-08-04,1275.666919,38.45427768,18.43426714
216,1951-08-05,1277.899521,41.99388351,10.47723324
217,1951-08-06,1278.651945,42.0505172,26.95763796
218,1951-08-07,1279.392034,39.92675371,25.20199347
219,1951-08-08,1279.145338,31.71486819,30.15744163
220,1951-08-09,1279.145338,29.27961938,25.79664725
221,1951-08-10,1278.898641,31.29011549,27.01427166
222,1951-08-11,1278.392914,27.60892544,28.09031183
223,1951-08-12,1278.146217,23.21981421,19.34040623
224,1951-08-13,1276.407008,21.18100126,35.08457294
225,1951-08-14,1274.421102,18.60416822,36.98180166
226,1951-08-15,1272.1885,16.84852373,38.17110922
227,1951-08-16,1269.215809,14.80971077,39.21883254
228,1951-08-17,1265.996421,7.7588159679999995,39.64358524
229,1951-08-18,1263.036065,11.60990711,39.67190209
230,1951-08-19,1260.815798,9.401193071,29.33625308
231,1951-08-20,1257.855441,6.1730725589999995,36.95348481
232,1951-08-21,1254.673058,5.408517701,38.2843766
233,1951-08-22,1251.47834,7.702182275,39.21883254
234,1951-08-23,1248.295957,1.189307557,33.41387899
235,1951-08-24,1245.125909,8.608321366,37.4915049
236,1951-08-25,1242.436918,9.004757219,33.49882953
237,1951-08-26,1240.734713,10.13743108,24.01268592
238,1951-08-27,1237.577,8.155251821,38.17110922
239,1951-08-28,1233.925893,10.25069847,45.84497465
240,1951-08-29,1230.546153,2.8883183530000003,40.74794226
241,1951-08-30,1227.400775,7.220795882999999,39.58695155
242,1951-08-31,1224.502092,9.571094151,40.26655587
243,1951-09-01,1221.615745,8.778222446000001,40.54972433
244,1951-09-02,1220.172571,12.26119458,26.07981572
245,1951-09-03,1218.495036,10.47723324,26.75942004
246,1951-09-04,1216.102081,12.85584836,37.74635652
247,1951-09-05,1213.46243,7.390696963,33.92358223
248,1951-09-06,1210.835113,12.68594728,39.19051569
249,1951-09-07,1208.688855,9.514460458,29.591104700000002
250,1951-09-08,1207.023655,13.53545267,26.47625157
251,1951-09-09,1206.061539,8.778222446000001,16.33882049
252,1951-09-10,1203.693254,11.10020387,31.71486819
253,1951-09-11,1201.078272,6.852676877,36.41546473
254,1951-09-12,1198.709987,5.776636706000001,30.78041225
255,1951-09-13,1196.341702,11.38337233,35.70754356
256,1951-09-14,1193.739055,6.965944264,33.38556214
257,1951-09-15,1191.617466,5.068715541,26.53288526
258,1951-09-16,1190.198962,4.870497615,19.36872307
259,1951-09-17,1187.855347,2.690100427,26.02318203
260,1951-09-18,1185.499396,6.739409491,32.13962089
261,1951-09-19,1183.143446,9.146341452,31.12021441
262,1951-09-20,1181.280889,15.94238464,36.24556365
263,1951-09-21,1179.640358,11.97802611,29.02476777
264,1951-09-22,1178.234188,12.57267989,26.78773688
265,1951-09-23,1177.309077,13.96020537,23.04991313
266,1951-09-24,1175.434185,7.843766508,25.17367663
267,1951-09-25,1173.337265,18.3493166,33.44219583
268,1951-09-26,1171.005985,5.833270400000001,32.4511062
269,1951-09-27,1168.452677,10.4489164,37.88794075
270,1951-09-28,1165.665008,3.7661405980000002,32.5077399
271,1951-09-29,1163.124036,2.576833041,28.3168466
272,1951-09-30,1161.273813,5.974854633,23.38971529
273,1951-10-01,1158.73284,4.33247753,30.49724379
274,1951-10-02,1156.204203,0.254851619,26.75942004
275,1951-10-03,1153.897592,5.351884007,31.77150189
276,1951-10-04,1151.603315,1.9821792619999998,27.58060859
277,1951-10-05,1149.321374,11.27010495,37.23665328
278,1951-10-06,1147.483486,9.882579462999999,29.56278785
279,1951-10-07,1146.805071,20.69961486,27.12753904
280,1951-10-08,1146.114321,21.60575396,27.523974900000002
281,1951-10-09,1145.201545,20.72793171,28.71328245
282,1951-10-10,1144.054407,18.63248506,29.42120362
283,1951-10-11,1142.919603,20.27486217,30.66714487
284,1951-10-12,1141.562773,18.66080191,31.62991765
285,1951-10-13,1140.181274,16.45208787,30.07249109
286,1951-10-14,1139.280832,16.96179111,23.701200600000004
287,1951-10-15,1137.911667,15.71584986,29.44952046
288,1951-10-16,1136.554837,13.96020537,29.73268893
289,1951-10-17,1134.963645,12.06297665,30.41229325
290,1951-10-18,1133.150427,12.85584836,32.25288828
291,1951-10-19,1131.337209,15.51763194,33.49882953
292,1951-10-20,1129.314299,8.636638213,30.29902586
293,1951-10-21,1127.513415,7.645548582000001,28.51506453
294,1951-10-22,1125.256143,8.155251821,34.20675069
295,1951-10-23,1123.233233,8.551687673,31.96971981
296,1951-10-24,1120.988296,6.824360031,32.79090836
297,1951-10-25,1118.977721,9.854262617,33.18734422
298,1951-10-26,1116.510757,7.645548582000001,36.13229626
299,1951-10-27,1114.500182,5.833270400000001,29.1097183
300,1951-10-28,1113.168021,8.041984434,23.53129952
301,1951-10-29,1111.379473,9.202975145,29.81763947
302,1951-10-30,1109.603259,9.118024605,29.78932262
303,1951-10-31,1107.605018,9.033074065,32.19625458
304,1951-11-01,1105.606778,4.672279689,27.80714336
305,1951-11-02,1103.830564,11.241788099999999,31.77150189
306,1951-11-03,1102.498403,14.78139393,30.15744163
307,1951-11-04,1101.610296,13.76198745,24.01268592
308,1951-11-05,1100.068444,13.19565052,31.12021441
309,1951-11-06,1098.29223,11.63822395,32.0829872
310,1951-11-07,1096.528351,10.64713432,31.06358072
311,1951-11-08,1094.764472,9.287925685,29.70437208
312,1951-11-09,1093.444647,14.46990861,29.73268893
313,1951-11-10,1091.902794,12.00634296,29.81763947
314,1951-11-11,1091.027022,10.76040171,20.92614964
315,1951-11-12,1089.929223,15.376047699999999,28.06199498
316,1951-11-13,1088.177679,9.287925685,29.56278785
317,1951-11-14,1086.426135,9.769312077,30.04417424
318,1951-11-15,1084.452564,9.627727843999999,32.39447251
319,1951-11-16,1083.145073,11.92139242,27.07090535
320,1951-11-17,1081.627891,10.50555009,28.17526237
321,1951-11-18,1080.530092,8.976440372,21.57743711
322,1951-11-19,1078.581191,8.919806679,31.57328396
323,1951-11-20,1076.841981,9.542777304,29.64773839
324,1951-11-21,1074.880745,10.33564901,32.9324926
325,1951-11-22,1074.017308,11.41168918,21.46416972
326,1951-11-23,1072.278098,9.74099523,29.81763947
327,1951-11-24,1070.329197,8.806539293,31.34674919
328,1951-11-25,1069.034041,9.656044691,24.66397339
329,1951-11-26,1067.307167,10.47723324,30.49724379
330,1951-11-27,1065.580292,11.77980819,31.77150189
331,1951-11-28,1063.643725,10.13743108,32.62100728
332,1951-11-29,1061.916851,10.33564901,30.27070902
333,1951-11-30,1060.189976,11.46832287,31.40338288
334,1951-12-01,1058.265745,9.429509917999999,31.82813558
335,1951-12-02,1056.329178,9.882579462999999,32.25288828
336,1951-12-03,1054.404946,10.47723324,32.79090836
337,1951-12-04,1052.258688,8.240202361,33.01744314
338,1951-12-05,1050.124764,11.12852071,35.8491278
339,1951-12-06,1048.200533,11.55327341,33.75368115
340,1951-12-07,1046.078944,9.74099523,34.37665177
341,1951-12-08,1043.94502,9.797628924,34.40496862
342,1951-12-09,1041.404048,7.928717047999999,37.37823751
343,1951-12-10,1039.282459,10.36396586,34.85803816
344,1951-12-11,1036.963513,7.815449662000001,34.71645393
345,1951-12-12,1034.434875,8.296836054,37.57645544
346,1951-12-13,1031.277162,6.059805172000001,42.61685413
347,1951-12-14,1028.958216,8.353469747,35.11288978
348,1951-12-15,1026.232221,6.456241025,38.02952498
349,1951-12-16,1023.296534,7.645548582000001,41.59744766
350,1951-12-17,1020.163491,4.8138639219999995,41.11606126
351,1951-12-18,1017.042782,4.898814462,41.08774442
352,1951-12-19,1013.712381,4.41742807,42.92833945
353,1951-12-20,1010.394314,6.6261421039999995,45.02378609
354,1951-12-21,1006.866556,6.880993724,47.60061913
355,1951-12-22,1003.153776,4.587329148999999,47.57230229
356,1951-12-23,999.8603795,3.794457444,41.90893297
357,1951-12-24,996.5793177999999,4.955448155,42.98497314
358,1951-12-25,993.507948,4.672279689,40.23823902
359,1951-12-26,990.2392212000001,7.419013809,45.25032087
360,1951-12-27,986.9828291,3.482972132,41.201011799999996
361,1951-12-28,983.9361289,7.3057464229999995,42.56022044
362,1951-12-29,981.0991207000001,5.635052472999999,38.48259453
363,1951-12-30,978.2621125,3.369704745,36.10397942
364,1951-12-31,974.833033,8.608321366,48.28022345
365,1952-01-01,971.8233372999999,7.928717047999999,42.9000226
366,1952-01-02,968.0118784,6.088122019,50.20576902
367,1952-01-03,965.0145175,6.399607332,41.14437811
368,1952-01-04,961.2153935,6.201389405,50.09250164
369,1952-01-05,957.8356532,8.126934974,47.28913382
370,1952-01-06,954.8506272000001,7.220795882999999,41.71071504
371,1952-01-07,951.2858646,6.597825257999999,47.8837876
372,1952-01-08,947.5360799,7.24911273,50.65883857
373,1952-01-09,943.7986298999999,8.834856139,52.10299774
374,1952-01-10,940.2708718,8.3251529,49.12972885
375,1952-01-11,937.1378278999999,11.52495657,47.68556967
376,1952-01-12,934.6091902000001,10.30733216,39.61526839
377,1952-01-13,932.6726237,10.84535225,33.35724529
378,1952-01-14,929.5642494,10.30733216,46.2414105
379,1952-01-15,926.2708529,9.91089631,48.02537183
380,1952-01-16,923.1748135,10.53386694,46.32636104
381,1952-01-17,920.0911089,11.41168918,47.11923274
382,1952-01-18,917.5871407999999,12.17624404,41.14437811
383,1952-01-19,915.4778868,11.89307557,36.35883103
384,1952-01-20,913.9360345,12.31782827,30.10080794
385,1952-01-21,911.0743567000001,8.919806679,42.13546774
386,1952-01-22,907.6452771,11.01525333,50.71547226
387,1952-01-23,904.2285324,9.797628924,49.35626362
388,1952-01-24,901.0091448,9.656044691,46.89269797
389,1952-01-25,897.8020921,8.155251821,45.25032087
390,1952-01-26,895.1624409,11.04357017,41.51249712
391,1952-01-27,893.1148611,11.21347125,34.9996224
392,1952-01-28,890.2901877,9.82594577,42.475269899999994
393,1952-01-29,887.4901838999999,9.457826764,41.90893297
394,1952-01-30,884.3201356000001,6.6544589510000005,43.38140899
395,1952-01-31,881.3351095,7.702182275,42.19210143
396,1952-02-01,878.177396,6.965944264,43.52299322
397,1952-02-02,875.5870841,8.948123526,38.96398092
398,1952-02-03,873.5518391,10.50555009,34.03684961
399,1952-02-04,870.6038175,8.891489832000001,43.01328999
400,1952-02-05,867.4831084,7.362380116000001,43.52299322
401,1952-02-06,864.0046896,6.427924178,46.69448004
402,1952-02-07,860.3535833999999,7.702182275,49.89428371
403,1952-02-08,856.714812,6.682775798,48.733292999999996
404,1952-02-09,853.6434422000001,8.608321366,44.23091439
405,1952-02-10,852.7306656000001,13.33723475,23.81446799
406,1952-02-11,849.3015861,8.891489832000001,48.59170877
407,1952-02-12,846.0575289,8.863172986,46.38299473
408,1952-02-13,843.0108287,8.721588752999999,44.06101331
409,1952-02-14,839.9517937999999,8.070301281,43.38140899
410,1952-02-15,836.5597187000001,11.55327341,50.85705649
411,1952-02-16,833.007291,8.976440372,50.14913533
412,1952-02-17,830.1702828,9.004757219,41.79566558
413,1952-02-18,826.1121275,8.693271906,55.61428672
414,1952-02-19,822.411682,9.061390912,55.75587096
415,1952-02-20,817.8848036,8.778222446000001,57.36993121
416,1952-02-21,813.8759877,8.438420287000001,54.84973186
417,1952-02-22,809.8795065,8.381786594,54.62319709
418,1952-02-23,806.0680476,10.53386694,54.62319709
419,1952-02-24,803.3050483,12.11961034,44.06101331
420,1952-02-25,799.185219,10.36396586,58.13448607
421,1952-02-26,795.4107645,11.69485765,55.30280141
422,1952-02-27,791.6733145,11.01525333,54.34002863
423,1952-02-28,787.9481994,11.38337233,54.45329601
424,1952-02-29,784.4081065,9.854262617,50.85705649
425,1952-03-01,780.707661,11.44000603,54.25507809
426,1952-03-02,778.0310054,14.10178961,45.16537033
427,1952-03-03,774.5155822,14.10178961,54.73646448
428,1952-03-04,771.0124937,15.23446347,55.72755411
429,1952-03-05,767.6944276,15.91406779,54.28339493
430,1952-03-06,764.3886962,13.76198745,52.04636405
431,1952-03-07,761.0952997,15.09287924,53.17903791
432,1952-03-08,757.9869255,14.01683907,50.0075511
433,1952-03-09,755.5446315,16.84852373,45.19368717
434,1952-03-10,752.2759046,16.2255531,53.94359277
435,1952-03-11,748.5507894,15.63089932,58.78577354
436,1952-03-12,744.8380091,13.28060106,56.208940500000004
437,1952-03-13,741.310251,12.57267989,53.43388953
438,1952-03-14,737.4741225,12.82753151,57.20003013
439,1952-03-15,733.9710341,12.60099674,53.15072107
440,1952-03-16,731.2697088,14.30000753,45.53348933
441,1952-03-17,727.322567,12.4594125,58.21943661
442,1952-03-18,722.4503137,15.14951293,71.55667136
443,1952-03-19,717.6027301,15.26278032,71.35845343
444,1952-03-20,712.6194634,12.11961034,69.71607633
445,1952-03-21,707.2044781000001,11.60990711,74.27508863
446,1952-03-22,702.1348677999999,12.68594728,71.47172082
447,1952-03-23,697.2379449,12.60099674,69.29132363
448,1952-03-24,692.0573212,12.23287773,72.15132514
449,1952-03-25,686.8026885,11.32673864,70.96201758
450,1952-03-26,681.9304352,13.3089179,70.87706704
451,1952-03-27,676.9841731,13.64872006,70.90538389
452,1952-03-28,672.2105982999999,15.94238464,71.13191866
453,1952-03-29,667.7700637,17.27327643,68.75330354
454,1952-03-30,664.3656537999999,26.30635049,65.66676727
455,1952-03-31,661.1215966,30.69546171,68.18696661
456,1952-04-01,657.902209,33.15902737,70.45231434
457,1952-04-02,654.6951562,35.16952348,72.32122622
458,1952-04-03,651.5004382999999,34.54655285,71.52835451
459,1952-04-04,648.3057203,35.11288978,72.00974090000001
460,1952-04-05,645.4193727999999,36.86853427,70.33904695
461,1952-04-06,643.2607796,44.93883555,69.97092795
462,1952-04-07,644.6916185,89.08479940000001,72.40617676
463,1952-04-08,649.0334746,119.3555084,69.14973940000002
464,1952-04-09,655.5709283,148.1537414,72.57607784
465,1952-04-10,658.4819455,102.2238162,68.41350139
466,1952-04-11,660.6775431,97.60817023,72.17964198
467,1952-04-12,662.1577212999999,86.87608537,69.85766056
468,1952-04-13,662.8854756000001,78.72083355,70.19746272
469,1952-04-14,663.0334935,74.67152448,72.97251369
470,1952-04-15,663.6255647,76.73865429,69.88597741
471,1952-04-16,665.1057429,91.49173136,74.36003917
472,1952-04-17,667.6220459,104.9422335,75.83251519
473,1952-04-18,671.6185271,118.9590726,72.71766207
474,1952-04-19,677.5762443,136.7986859,67.84716445
475,1952-04-20,686.7533492,179.75534219999997,70.14082903
476,1952-04-21,696.9295744,187.6840593,69.63112579
477,1952-04-22,708.43796,204.5042661,70.53726488
478,1952-04-23,717.7630827,181.79415519999998,71.50003767
479,1952-04-24,722.9190368,133.57056540000002,70.76379965
480,1952-04-25,730.0115574,155.431171,70.62221542
481,1952-04-26,736.3639887999999,144.6141356,68.35686769
482,1952-04-27,741.9516616000001,137.6481913,69.34795732
483,1952-04-28,750.006298,166.6446422,70.87706704
484,1952-04-29,759.787809,182.3321753,68.07369923
485,1952-04-30,771.3455338,202.9468396,67.59231283
486,1952-05-01,783.0636112999999,201.2761456,62.75013207
487,1952-05-02,792.8574571,181.22781819999997,64.70399448
488,1952-05-03,804.1684856,197.4250545,62.52359729
489,1952-05-04,815.6151971,196.6321828,60.22993272
490,1952-05-05,829.2821759,230.3009134,68.04538238
491,1952-05-06,844.6266899,249.04666580000003,66.82775798
492,1952-05-07,861.6240697000001,259.8070676,60.65468542
493,1952-05-08,878.5474405,260.7698403,62.43864675
494,1952-05-09,894.7923964,248.67854680000002,60.37151695
495,1952-05-10,909.5448392000001,231.5185378,58.47428823
496,1952-05-11,924.3342864,229.87616069999999,55.784187800000005
497,1952-05-12,934.2268108,176.6404891,58.84240723
498,1952-05-13,943.7986298999999,177.6598956,63.42973638
499,1952-05-14,951.6805787999999,157.1584986,61.53250766
500,1952-05-15,962.806585,193.092577,62.83508261
501,1952-05-16,974.4383187999999,195.66941,60.73963596
502,1952-05-17,986.5757801,198.5294115,58.04953553
503,1952-05-18,998.6392325,185.27712730000002,43.3247753
